loot_id,item_id,item_name,base_drop_rate,quantity_min,quantity_max
Drop_000,sp9996,Lv.99 倒回石,100,1,1
Drop_000,sp9997,Lv.99 混沌石,100,1,1
Drop_000,sp9998,Lv.99 祝福石,100,1,1
Drop_000,sp9999,Lv.99 詛咒石,100,1,1
Drop_001,item101,Lv.1 生命藥水,7,1,2
Drop_001,item201,Lv.1 魔力藥水,7,1,2
Drop_001,sp0101,Lv.1 祝福石,0.3,1,1
Drop_001,sp0201,Lv.1 詛咒石,0.3,1,1
Drop_001,sp0102,Lv.2 祝福石,0.1,1,1
Drop_001,sp0202,Lv.2 詛咒石,0.1,1,1
Drop_001,sp0301,Lv.1 混沌石,0.01,1,1
Drop_001,eq0001,初心胸甲,0.4,1,1
Drop_001,eq0002,初心頭盔,0.4,1,1
Drop_001,eq0003,初心盾牌,0.4,1,1
Drop_001,eq0004,初心手套,0.4,1,1
Drop_001,eq0005,初心長靴,0.4,1,1
Drop_001,eq0006,初心護膝,0.4,1,1
Drop_001,eq0007,初心戒指,1,1,1
Drop_001,eq0008,初心耳環,0.8,1,1
Drop_001,eq0009,初心項鍊,0.4,1,1
Drop_001,eq0010,木劍,0.4,1,1
Drop_001,eq0011,木杖,0.4,1,1
Drop_001,eq0012,布拳套,0.4,1,1
Drop_001,book101,重擊,1,1,1
Drop_001,book201,風刃,1,1,1
Drop_001,book301,螺旋拳,1,1,1
Drop_001,book501,刺擊,1,1,1
Drop_001,book601,魔力斬擊,0.2,1,1
Drop_001,book102,戰士之道,0.2,1,1
Drop_001,book202,魔法之道,0.2,1,1
Drop_001,book302,武鬥之道,0.2,1,1
Drop_001,book402,群體恢復術,0.2,1,1
Drop_001,book602,魔劍之道,0.2,1,1
Drop_005,sp0101,Lv.1 祝福石,0.5,1,1
Drop_005,sp0201,Lv.1 詛咒石,0.5,1,1
Drop_005,sp0102,Lv.2 祝福石,0.3,1,1
Drop_005,sp0202,Lv.2 詛咒石,0.3,1,1
Drop_005,sp0301,Lv.1 混沌石,0.01,1,1
Drop_005,book103,氣刃斬,0.1,1,1
Drop_005,book203,火球術,0.1,1,1
Drop_005,book303,迴旋踢,0.1,1,1
Drop_005,book403,中級治癒術,0.1,1,1
Drop_005,book503,逆刃,0.1,1,1
Drop_005,book603,注魔氣刃斬,0.1,1,1
Drop_005,eq0051,預見Ａ 長劍,0.05,1,1
Drop_005,eq0052,預見Ａ 法杖,0.05,1,1
Drop_005,eq0053,預見Ａ 拳套,0.05,1,1
Drop_005,eq0054,預見Ａ 魔法球,0.05,1,1
Drop_005,eq0055,預見Ａ 匕首,0.05,1,1
Drop_005,eq0056,預見Ａ 破魔劍,0.05,1,1
Drop_005,eq0081,史萊姆 核心,0.05,1,1
Drop_005,eq0082,利姆露 玩偶,0.05,1,1
Drop_005,book404,渴望之劍,0.03,1,1
Drop_005,book405,魔法之劍,0.03,1,1
Drop_005,book406,初級防禦術,0.03,1,1
Drop_005,book407,魔法屏障,0.03,1,1
Drop_011,item101,Lv.1 生命藥水,2,1,5
Drop_011,item201,Lv.1 魔力藥水,2,1,5
Drop_011,item102,Lv.2 生命藥水,5,1,3
Drop_011,item202,Lv.2 魔力藥水,5,1,3
Drop_011,sp0101,Lv.1 祝福石,0.5,1,1
Drop_011,sp0201,Lv.1 詛咒石,0.5,1,1
Drop_011,sp0301,Lv.1 混沌石,0.02,1,1
Drop_011,sp0102,Lv.2 祝福石,0.3,1,1
Drop_011,sp0202,Lv.2 詛咒石,0.3,1,1
Drop_011,sp0302,Lv.2 混沌石,0.01,1,1
Drop_011,book404,渴望之劍,0.2,1,1
Drop_011,book405,魔法之劍,0.2,1,1
Drop_011,book406,初級防禦術,0.2,1,1
Drop_011,book407,魔法屏障,0.2,1,1
Drop_011,eq0101,Ａ 胸甲,0.4,1,1
Drop_011,eq0102,Ａ 頭盔,0.4,1,1
Drop_011,eq0103,Ａ 盾牌,0.4,1,1
Drop_011,eq0104,Ａ 手套,0.4,1,1
Drop_011,eq0105,Ａ 長靴,0.4,1,1
Drop_011,eq0106,Ａ 護膝,0.4,1,1
Drop_011,eq0107,Ａ 戒指,1,1,1
Drop_011,eq0108,Ａ 耳環,0.8,1,1
Drop_011,eq0109,Ａ 項鍊,0.4,1,1
Drop_011,eq0110,Ａ 長劍,0.4,1,1
Drop_011,eq0111,Ａ 法杖,0.4,1,1
Drop_011,eq0112,Ａ 拳套,0.4,1,1
Drop_011,eq0113,Ａ 魔法球,0.4,1,1
Drop_011,eq0114,Ａ 匕首,0.4,1,1
Drop_011,eq0115,Ａ 破魔劍,0.4,1,1
Drop_011,book104,月孤斬,0.1,1,1
Drop_011,book105,戰士的自我修養 Lv.11,0.01,1,1
Drop_011,book106,十字斬,0.05,1,1
Drop_011,book204,寒冰之槍,0.1,1,1
Drop_011,book205,法師的自我修養 Lv.11,0.01,1,1
Drop_011,book206,冰牢,0.05,1,1
Drop_011,book304,升龍拳,0.1,1,1
Drop_011,book305,武道的自我修養 Lv.11,0.01,1,1
Drop_011,book306,百裂拳,0.05,1,1
Drop_011,book408,生命逆行,0.05,1,1
Drop_011,book504,毒刃,0.1,1,1
Drop_011,book505,盜賊的自我修養 Lv.11,0.01,1,1
Drop_011,book506,瞬影連刺,0.05,1,1
Drop_011,book604,冥月斬,0.1,1,1
Drop_011,book605,芙蕾雅的信仰,0.01,1,1
Drop_011,book606,反手破魔劍,0.05,1,1
Drop_015,sp0101,Lv.1 祝福石,0.5,1,1
Drop_015,sp0201,Lv.1 詛咒石,0.5,1,1
Drop_015,sp0301,Lv.1 混沌石,0.02,1,1
Drop_015,sp0102,Lv.2 祝福石,0.3,1,1
Drop_015,sp0202,Lv.2 詛咒石,0.3,1,1
Drop_015,sp0302,Lv.2 混沌石,0.01,1,1
Drop_015,eq0151,預見Ｂ 長劍,0.05,1,1
Drop_015,eq0152,預見Ｂ 法杖,0.05,1,1
Drop_015,eq0153,預見Ｂ 拳套,0.05,1,1
Drop_015,eq0154,預見Ｂ 魔法球,0.05,1,1
Drop_015,eq0155,預見Ｂ 匕首,0.05,1,1
Drop_015,eq0156,預見Ｂ 破魔劍,0.05,1,1
Drop_015,book107,劍氣護體,0.03,1,1
Drop_015,book108,流星劍,0.01,1,1
Drop_015,book207,魔法護盾,0.03,1,1
Drop_015,book208,落雷,0.01,1,1
Drop_015,book307,鬥氣爆發,0.03,1,1
Drop_015,book308,逆透勁,0.01,1,1
Drop_015,book409,聖光追蹤彈,0.02,1,1
Drop_015,book410,高級治癒術,0.01,1,1
Drop_015,book507,二刀連擊,0.03,1,1
Drop_015,book508,殘影亂斬,0.01,1,1
Drop_015,book607,血劍之道,0.03,1,1
Drop_015,book608,悖魔鋒刃,0.01,1,1
Drop_015,eq0131,Lv.2 力量戒指,0.05,1,1
Drop_015,eq0132,Lv.2 體質戒指,0.05,1,1
Drop_015,eq0133,Lv.2 智慧戒指,0.05,1,1
Drop_015,eq0134,Lv.2 精神戒指,0.05,1,1
Drop_015,eq0135,Lv.2 敏捷戒指,0.05,1,1
Drop_015,eq0136,Lv.2 幸運戒指,0.05,1,1
Drop_015,eq0137,Cv.2 力體戒指,0.03,1,1
Drop_015,eq0138,Cv.2 精智戒指,0.03,1,1
Drop_015,eq0139,Cv.2 敏幸戒指,0.03,1,1
Drop_015,eq0140,Cv.2 生靈耳環,0.03,1,1
Drop_021,item102,Lv.2 生命藥水,3.5,1,5
Drop_021,item202,Lv.2 魔力藥水,3.5,1,5
Drop_021,item103,Lv.3 生命藥水,3.5,1,3
Drop_021,item203,Lv.3 魔力藥水,3.5,1,3
Drop_021,sp0101,Lv.1 祝福石,0.2,1,1
Drop_021,sp0201,Lv.1 詛咒石,0.2,1,1
Drop_021,sp0301,Lv.1 混沌石,0.02,1,1
Drop_021,sp0102,Lv.2 祝福石,0.5,1,1
Drop_021,sp0202,Lv.2 詛咒石,0.5,1,1
Drop_021,sp0302,Lv.2 混沌石,0.02,1,1
Drop_021,sp0103,Lv.3 祝福石,0.3,1,1
Drop_021,sp0203,Lv.3 詛咒石,0.3,1,1
Drop_021,sp0303,Lv.3 混沌石,0.01,1,1
Drop_021,book109,不屈意志,0.01,1,1
Drop_021,book209,奧術空想,0.01,1,1
Drop_021,book309,輕盈步伐,0.01,1,1
Drop_021,book509,消失,0.01,1,1
Drop_021,book609,提爾的信仰,0.01,1,1
Drop_021,eq0201,Ｂ 胸甲,0.4,1,1
Drop_021,eq0202,Ｂ 頭盔,0.4,1,1
Drop_021,eq0203,Ｂ 盾牌,0.4,1,1
Drop_021,eq0204,Ｂ 手套,0.4,1,1
Drop_021,eq0205,Ｂ 長靴,0.4,1,1
Drop_021,eq0206,Ｂ 護膝,0.4,1,1
Drop_021,eq0207,Ｂ 戒指,1,1,1
Drop_021,eq0208,Ｂ 耳環,0.8,1,1
Drop_021,eq0209,Ｂ 項鍊,0.4,1,1
Drop_021,eq0210,Ｂ 長劍,0.4,1,1
Drop_021,eq0211,Ｂ 法杖,0.4,1,1
Drop_021,eq0212,Ｂ 拳套,0.4,1,1
Drop_021,eq0213,Ｂ 魔法球,0.4,1,1
Drop_021,eq0214,Ｂ 匕首,0.4,1,1
Drop_021,eq0215,Ｂ 破魔劍,0.4,1,1
Drop_025,sp0101,Lv.1 祝福石,0.2,1,1
Drop_025,sp0201,Lv.1 詛咒石,0.2,1,1
Drop_025,sp0301,Lv.1 混沌石,0.02,1,1
Drop_025,sp0102,Lv.2 祝福石,0.5,1,1
Drop_025,sp0202,Lv.2 詛咒石,0.5,1,1
Drop_025,sp0302,Lv.2 混沌石,0.02,1,1
Drop_025,sp0103,Lv.3 祝福石,0.3,1,1
Drop_025,sp0203,Lv.3 詛咒石,0.3,1,1
Drop_025,sp0303,Lv.3 混沌石,0.01,1,1
Drop_025,book110,蒼龍破,0.01,1,1
Drop_025,book111,戰士的自我修養 Lv.31,0.001,1,1
Drop_025,book210,連鎖閃電,0.01,1,1
Drop_025,book211,法師的自我修養 Lv.31,0.001,1,1
Drop_025,book310,龍捲旋風腿,0.01,1,1
Drop_025,book311,武道的自我修養 Lv.31,0.001,1,1
Drop_025,book411,聖十字懲戒,0.01,1,1
Drop_025,book510,致命突刺,0.01,1,1
Drop_025,book511,盜賊的自我修養 Lv.31,0.001,1,1
Drop_025,book610,劍刃風暴✗魔,0.01,1,1
Drop_025,book611,魂體轉換,0.001,1,1
Drop_025,eq0231,Lv.3 力量戒指,0.02,1,1
Drop_025,eq0232,Lv.3 體質戒指,0.02,1,1
Drop_025,eq0233,Lv.3 智慧戒指,0.02,1,1
Drop_025,eq0234,Lv.3 精神戒指,0.02,1,1
Drop_025,eq0235,Lv.3 敏捷戒指,0.02,1,1
Drop_025,eq0236,Lv.3 幸運戒指,0.02,1,1
Drop_025,eq0237,Cv.3 力體戒指,0.01,1,1
Drop_025,eq0238,Cv.3 精智戒指,0.01,1,1
Drop_025,eq0239,Cv.3 敏幸戒指,0.01,1,1
Drop_025,eq0240,Cv.3 生靈耳環,0.01,1,1
Drop_025,eq0251,預見Ｃ 長劍,0.01,1,1
Drop_025,eq0252,預見Ｃ 法杖,0.01,1,1
Drop_025,eq0253,預見Ｃ 拳套,0.01,1,1
Drop_025,eq0254,預見Ｃ 魔法球,0.01,1,1
Drop_025,eq0255,預見Ｃ 匕首,0.01,1,1
Drop_025,eq0256,預見Ｃ 破魔劍,0.01,1,1
Drop_025,item102,Lv.2 生命藥水,3.5,1,5
Drop_025,item202,Lv.2 魔力藥水,3.5,1,5
Drop_025,item103,Lv.3 生命藥水,3.5,1,3
Drop_025,item203,Lv.3 魔力藥水,3.5,1,3
Drop_031,sp0101,Lv.1 祝福石,0.2,1,1
Drop_031,sp0201,Lv.1 詛咒石,0.2,1,1
Drop_031,sp0301,Lv.1 混沌石,0.02,1,1
Drop_031,sp0102,Lv.2 祝福石,0.5,1,1
Drop_031,sp0202,Lv.2 詛咒石,0.5,1,1
Drop_031,sp0302,Lv.2 混沌石,0.02,1,1
Drop_031,sp0103,Lv.3 祝福石,0.3,1,1
Drop_031,sp0203,Lv.3 詛咒石,0.3,1,1
Drop_031,sp0303,Lv.3 混沌石,0.01,1,1
