monster_id,name,item_id,item_name,base_drop_rate,quantity_min,quantity_max
mon003,怨靈史萊姆,eq0036,Lv.1 幸運戒指,0.3,1,1
mon003,怨靈史萊姆,eq0081,史萊姆 核心,0.1,1,1
mon004,金屬史萊姆,eq0032,Lv.1 體質戒指,0.3,1,1
mon004,金屬史萊姆,eq0082,利姆露 玩偶,0.1,1,1
mon005,毒史萊姆,eq0035,Lv.1 敏捷戒指,0.3,1,1
mon005,毒史萊姆,eq0081,史萊姆 核心,0.1,1,1
mon006,火焰史萊姆,eq0031,Lv.1 力量戒指,0.3,1,1
mon006,火焰史萊姆,eq0083,利姆露 耳環,0.1,1,1
mon007,冰霜史萊姆,eq0034,Lv.1 精神戒指,0.3,1,1
mon007,冰霜史萊姆,eq0083,利姆露 耳環,0.1,1,1
mon008,雷電史萊姆,eq0033,Lv.1 智慧戒指,0.3,1,1
mon008,雷電史萊姆,eq0083,利姆露 耳環,0.2,1,1
mon009,史萊姆國王,eq0084,利姆露 王冠,0.2,1,1
mon009,史萊姆國王,eq0081,史萊姆 核心,0.2,1,1
mon009,史萊姆國王,eq0082,利姆露 玩偶,0.2,1,1
mon009,史萊姆國王,eq0083,利姆露 耳環,0.2,1,1
mon009,史萊姆國王,sp0401,Lv.1 倒回石,0.0001,1,1
mon010,史萊姆皇后,eq0085,利姆露 皇后之翼,0.2,1,1
mon010,史萊姆皇后,eq0081,史萊姆 核心,0.2,1,1
mon010,史萊姆皇后,eq0082,利姆露 玩偶,0.2,1,1
mon010,史萊姆皇后,eq0083,利姆露 耳環,0.2,1,1
mon010,史萊姆皇后,sp0401,Lv.1 倒回石,0.0001,1,1
mon012,哥布林盾兵,eq0187,哥布林 逃兵護膝,0.1,1,1
mon013,哥布林槍兵,eq0140,Cv.2 生靈耳環,0.1,1,1
mon014,哥布林治癒侍,eq0182,祈願 松木法杖,0.1,1,1
mon015,哥布林法師,eq0140,Cv.2 生靈耳環,0.1,1,1
mon016,哥布林薩滿,eq0185 ,哥布林 薩滿圖騰,0.1,1,1
mon017,哥布林聖騎士,eq0187,哥布林 逃兵護膝,0.1,1,1
mon018,被俘虜的女劍聖,eq0181,聖劍碎片 希魯達,0.02,1,1
mon018,被俘虜的女劍聖,sp0401,Lv.1 倒回石,0.0003,1,1
mon019,哥布林爆破兵,eq0188,哥布林 火藥行囊,0.02,1,1
mon023,骸骨術士,eq0286,古洛斯 耳環,0.1,1,1
mon024,腐敗修女,eq0291,腐敗修女 思念,0.1,1,1
mon025,骸骨將軍,eq0287,防腐官 裹屍手套,0.1,1,1
mon026,嚎泣亡魂,eq0293,盜墓者 貪婪戒環,0.1,1,1
mon027,鐮刀死神,eq0287,防腐官 裹屍手套,0.1,1,1
mon028,縛地靈,eq0288,縛地靈 跪的容易,0.1,1,1
mon029,怨念聚合體,eq0289,怨靈 水晶戒,0.1,1,1
mon030,迷路的聖職者幽靈,eq0292,純淨的 靈魂核心,0.005,1,1
mon032,屍肉魔像,eq0290,縫合怪 腐敗巨劍,0.02,1,1
mon033,巨大的縫合怪,eq0290,縫合怪 腐敗巨劍,0.02,1,1
mon034,盡忠的骷髏騎士,eq0281,魯米娜斯 信仰,0.02,1,1
mon035,古洛斯°黑龍,eq0286,古洛斯 耳環,0.2,1,1
mon035,古洛斯°黑龍,eq0292,純淨的 靈魂核心,0.05,1,1
mon035,古洛斯°黑龍,sp0401,Lv.1 倒回石,0.0003,1,1
mon036,巫妖王°無名,eq0290,縫合怪 腐敗巨劍,0.2,1,1
mon036,巫妖王°無名,sp0401,Lv.1 倒回石,0.0003,1,1
mon036,巫妖王°無名,eq0288,縛地靈 跪的容易,0.2,1,1
mon037,殭屍王°將臣,sp0401,Lv.1 倒回石,0.0003,1,1
mon037,殭屍王°將臣,eq0293,盜墓者 貪婪戒環,0.2,1,1
mon037,殭屍王°將臣,eq0287,防腐官 裹屍手套,0.2,1,1
mon999,夏憶雪,eq9999,無名 征服者,100,1,1
