enhance_level,success_rate,enhance_color,bless_affixes,curse_affixes,enabled,is_flashing,flash_shading,flash_mid_shading,flash_name,star_color,star_count,enhance_buff
5,70,#009900,4,6,TRUE,30,#009900,#A0A0A0,#FF0000,#FFFF00,1,1
6,60,#6666FF,4,6,TRUE,30,#6666FF,#A0A0A0,#FF0000,#FFFF00,2,1.1
7,50,#FFFF00,4,6,TRUE,30,#FFFF00,#A0A0A0,#FF0000,#FFFF00,3,1.3
8,40,#FF8000,4,6,TRUE,30,#FF8000,#A0A0A0,#00FFFF,#FFFF00,4,1.6
9,30,#FF0000,4,6,TRUE,30,#FF0000,#A0A0A0,#00FFFF,#FFFF00,5,2.1
10,20,#00F5FF,4,6,TRUE,30,#00F5FF,#A0A0A0,#00008B,#FFFF00,6,2.8
11,15,#0000CD,4,6,TRUE,30,#0000CD,#A0A0A0,#00FFFF,#FFFF00,7,3.5
12,15,#000000,4,6,TRUE,30,#000000,#A0A0A0,#00FFFF,#FFFF00,8,4.4
13,15,#8B0000,4,6,TRUE,30,#8B0000,#A0A0A0,#00FFFF,#FFFF00,9,5.5
14,15,#FFB6C1,4,6,TRUE,30,#FFB6C1,#A0A0A0,#FF1493,#FFFF00,10,6.7
15,15,#C71585,4,6,TRUE,30,#C71585,#A0A0A0,#00FFFF,#FFFF00,16,8
