version,type,patch_note
0.2.004,system,背包與系統介面調整為隨玩家視窗浮動介面
0.2.005,system,fix背包欄位無法切換頁面的問題
0.2.006,balance,調整玩家治療公式，修復初級治癒術超量治療問題
0.2.006,balance,本版本以前，Lv10牧師，初級治癒可以治癒370+hp
0.2.006,balance,調整攻擊公式，提高攻擊與魔法技能傷害上限
0.2.006,monster,下調史萊姆皇后技能傷害
0.2.007,system,新增配合版本編號的Patch note 紀錄
0.2.007,system,修復商店系統買賣正確顯示金額
0.2.007,system,放大與微調裝備內崁圖片大小，使其更好的辨識物品
0.2.007,balance,些微提升 [原初森林 Lv.1] 的掉落率
0.2.007,balance,下修治癒系技能魔力消耗
0.2.007,balance,下修牧師輔助型技能魔力消耗
0.2.008,system,下修boss身上帶的金幣
0.2.008,item,部分技能書無法賣給商店換錢的問題
0.2.008,balance,取消部分基礎屬性的每次升級獎勵，保留HP與MP的獎勵
