welcome_color,welcome_pt,is_Bold,welcome_name
#FF66FF,20,TRUE,～ ～ ～ ～ 歡迎來到 Dream-Crafter Ver0.2 ～ ～ ～ ～
#FF0000,14,TRUE,目前 經驗值倍率x1 道具掉落x1.5 金錢掉落x1.5
#FFFFFF,12,FALSE,個人測試覺得遊戲掉落與經驗趨近平衡
#00FFFF,12,TRUE,這裡是單人開發的 增量型 放置 RPG 遊戲
#00FFFF,12,FALSE,玩家隊伍最右側的玩家，會優先受到近距離攻擊；怪物則是最左側
#FFFFFF,16,TRUE,遊戲以 強化系統 為主軸、輔以 技能配點 與 打寶系統 搭配來進行
#00FFFF,12,FALSE,角色血條下方可以轉換職業；所有角色裝備與技能系統獨立
#00FFFF,12,FALSE,目前有５個職業，戰士、武道家、法師、牧師、盜賊
#00FF00,16,TRUE,[角色資訊]、滑鼠放上屬性會解說每項能力
#FFFFFF,12,FALSE,開始遊戲時，因為是放置遊戲，每次升級的擁有的屬性都會影響未來角色的發展
#FFFFFF,12,FALSE,多善用 [暫停] 按鈕，ZaWarudo這個世界看看
#00FF00,16,TRUE,1. 請點開畫面下方的[屬性配點]，調整升級方向
#FFFFFF,12,FALSE,系統預設配好5點，請自行改配你覺得需要的點數，請記得[儲存設定]
#00FF00,16,TRUE,2. 技能設定、來決定你要怎麼放技能
#FFFFFF,12,FALSE,牧師職業新手即習得初級治癒術，可以設定你的第一個技能
#00FF00,16,TRUE,3. 恢復與設定，設定你的HP與MP
#FFFFFF,12,FALSE,重置職業會將該職業所有一切回復到開帳號的狀態
#00FF00,16,TRUE,4. 強化系統、花費與上限與物品等級相關
#FFFFFF,12,FALSE,前四次強化的選擇為定向強化，之後的部分由玩家自行體會
#00FF00,16,TRUE,5. 裝備系統、Set1與Set2採用混穿系統，會自動使用另一個Set的裝備來補齊你的裝備
#FFFFFF,12,FALSE,你不用給兩個set都穿上全部的裝備，對應的位置都會鏡像過來
#00FFFF,12,FALSE,裝備回收系統會回收部分強化金幣，以及機率性返還基本強化石
#00FF00,16,TRUE,角色死亡、自動回村，等待全員回復生命與魔力值後，會自動返回戰鬥地圖
#FFFFFF,12,FALSE,可以注意看看戰鬥資訊，也許聰明的你可以看出原因與趣事
