class_id,name,skill_id,level,cost,cooldown,skill_color,damage_type,damage_target,base_damage,multiplier,cast_time,is_book,effect1,effect1_target,effect1_value,effect1_sec,effect1_Attribute,effect1_multi,effect2,effect2_target,effect2_value,effect2_sec,effect2_Attribute,effect2_multi,enabled,use_priority,trigger_type,trigger_value,min_targets,skill_intro
warrior,攻擊,csk100,1,0,0,#FFFFFF,physical,front,0,100,0,FALSE,,,,,,,,,,,,,TRUE,100,,,,
warrior,重擊,csk101,1,5,0,#CC6600,physical,front,0,120,0,TRUE,,,,,,,,,,,,,TRUE,99,,,,
warrior,戰士之道,csk102,3,30,60,#FFFF00,buff,none,0,0,0,TRUE,AC,self,5,60,CON,0.1,MR,self,10,60,WIS,0.1,TRUE,39,,,,[成長] | [buff]
warrior,氣刃斬,csk103,5,25,0,#CC6600,physical,aoe,5,100,0,TRUE,,,,,,,,,,,,,TRUE,69,,,,
warrior,月孤斬,csk104,8,10,0,#CC6600,physical,front,8,140,0,TRUE,,,,,,,,,,,,,TRUE,98,,,,
warrior,戰士的自我修養 Lv.11,csk105,11,50,300,#FFFF00,buff,none,0,0,0,TRUE,ADAM,self,5,60,STR,0.1,ATK,self,1,60,STR,0.1,TRUE,10,,,,[成長] | [buff]
warrior,十字斬,csk106,13,15,0,#CC6600,physical,front,13,100,0,TRUE,DMG,front,,,,,,,,,,,TRUE,68,,,,
warrior,以牙還牙,csk107,15,50,30,#FFFF00,buff,none,0,0,0,TRUE,PReflect,self,100%,20,STR,0.1,HReflect,self,100%,20,,,TRUE,38,,,,[反射] | [成長]
warrior,流星劍,csk108,18,20,5,#CC6600,physical,front,18,100,0,TRUE,ASPD,self,300,1,,,,,,,,,TRUE,97,,,,[犧牲] | 蠻三刀
warrior,不屈意志,csk109,23,50,60,#FFFF00,buff,none,0,0,0,TRUE,HPR,self,50,60,CON,0.1,AAR,self,5,60,CON,0.1,TRUE,37,,,,[成長] | [buff]
warrior,蒼龍破,csk110,27,35,0,#CC6600,physical,aoe,27,110,0,TRUE,,,,,,,,,,,,,TRUE,96,,,,
warrior,戰士的自我修養 Lv.31,csk111,31,100,300,#FFFF00,buff,none,0,0,0,TRUE,ADAM,self,10,60,STR,0.2,ATK,self,5,60,STR,0.2,TRUE,9,,,,[成長] | [buff]
mage,魔法彈,csk200,1,0,0,#FFFFFF,magic,front,0,100,0,FALSE,,,,,,,,,,,,,TRUE,100,,,,
mage,風刃,csk201,1,8,0,#00FFFF,magic,front,1,130,0,TRUE,,,,,,,,,,,,,TRUE,99,,,,
mage,魔法之道,csk202,3,30,60,#FFFF00,buff,none,0,0,0,TRUE,MDAM,self,5,60,INT,0.1,,,,,,,TRUE,39,,,,[成長] | [buff]
mage,火球術,csk203,5,25,0,#00FFFF,magic,aoe,5,80,0,TRUE,,,,,,,,,,,,,TRUE,69,,,,超過30歲轉職後習得
mage,寒冰之槍,csk204,8,24,0,#00FFFF,magic,front,16,160,0,TRUE,,,,,,,,,,,,,TRUE,98,,,,
mage,法師的自我修養 Lv.11,csk205,11,50,300,#FFFF00,buff,none,0,0,0,TRUE,MDAM,self,5,60,INT,0.1,MATK,self,1,60,INT,0.1,TRUE,10,,,,[成長] | [buff]
mage,冰牢,csk206,13,36,5,#00FFFF,magic,front,13,190,0,TRUE,ASPD,front,-40,20,,,,,,,,,TRUE,97,,,,[debuff] | 冰緩前方敵人
mage,魔法護盾,csk207,15,100,60,#FFFF00,buff,none,0,0,0,TRUE,MR,self,5,20,WIS,0.1,AC,self,5,20,CON,0.1,TRUE,38,,,,[成長]
mage,落雷,csk208,18,36,0,#00FFFF,magic,random,36,150,0,TRUE,DMG,random,80%,,,,DMG,random,60%,,,,TRUE,96,,,,
mage,奧術空想,csk209,23,48,5,#00FFFF,magic,aoe,23,90,0,TRUE,ASPD,enemy_aoe,-40,20,,,,,,,,,TRUE,68,,,,[debuff] | 冰緩所有敵人
mage,連鎖閃電,csk210,27,48,0,#00FFFF,magic,aoe,27,100,0,TRUE,,,,,,,,,,,,,TRUE,67,,,,
mage,法師的自我修養 Lv.31,csk211,31,100,300,#FFFF00,buff,none,0,0,0,TRUE,MDAM,self,10,60,INT,0.2,MATK,self,5,60,INT,0.2,TRUE,9,,,,[成長] | [buff]
martial,攻擊,csk300,1,0,0,#FFFFFF,physical,front,0,100,0,FALSE,,,,,,,,,,,,,TRUE,100,,,,
martial,螺旋拳,csk301,1,5,0,#CC6600,physical,front,1,120,0,TRUE,,,,,,,,,,,,,TRUE,99,,,,
martial,武鬥之道,csk302,3,30,60,#FFFF00,buff,none,0,0,0,TRUE,ADAM,self,5,60,STR,0.1,,,,,,,TRUE,39,,,,[成長] | [buff]
martial,迴旋踢,csk303,5,25,0,#CC6600,physical,aoe,5,80,0,TRUE,,,,,,,,,,,,,TRUE,69,,,,
martial,升龍拳,csk304,8,10,0,#CC6600,physical,front,8,140,0,TRUE,,,,,,,,,,,,,TRUE,98,,,,
martial,武道的自我修養 Lv.11,csk305,11,50,300,#FFFF00,buff,none,0,0,0,TRUE,ADAM,self,5,60,CON,0.1,ATK,self,1,60,CON,0.1,TRUE,10,,,,[成長] | [buff]
martial,百裂拳,csk306,13,15,5,#CC6600,physical,front,13,80,0,TRUE,ASPD,self,500,1,,,ADAM,self,-100,1,,,TRUE,97,,,,[犧牲] 快速攻擊
martial,鬥氣爆發,csk307,15,50,60,#FFFF00,buff,none,0,0,0,TRUE,CRI,self,1,60,DEX,0.1,ADAM,self,5,60,STR,0.1,TRUE,38,,,,[成長] | [buff]
martial,逆透勁,csk308,18,20,0,#CC6600,physical,front,18,160,0,TRUE,DMG,random,,,,,,,,,,,TRUE,96,,,,隔山亂打牛
martial,移花接木,csk309,23,50,30,#FFFF00,buff,none,0,0,0,TRUE,PReflect,self,100%,20,STR,0.1,MReflect,self,100%,20,INT,0.1,TRUE,37,,,,[反射] | [成長]
martial,龍捲旋風腿,csk310,27,30,0,#CC6600,physical,aoe,27,100,0,TRUE,,,,,,,,,,,,,TRUE,68,,,,
martial,武道的自我修養 Lv.31,csk311,31,100,300,#FFFF00,buff,none,0,0,0,TRUE,ADAM,self,10,60,CON,0.2,ATK,self,5,60,CON,0.2,TRUE,9,,,,[成長] | [buff]
priest,魔法彈,csk400,1,0,0,#FFFFFF,magic,front,0,100,0,FALSE,,,,,,,,,,,,,TRUE,100,,,,
priest,初級治癒術,csk401,1,25,0,#00FF00,heal,ally_hpless,20,75,0,FALSE,,,,,,,,,,,,,TRUE,90,ally_hp_below,50,,[heal]
priest,群體恢復術,csk402,3,100,30,#00FF00,buff,none,0,0,0,TRUE,HPR,ally_aoe,10,30,WIS,0.1,,,,,,,TRUE,70,ally_hp_below,70,2,[成長] | [heal]
priest,中級治癒術,csk403,5,60,0,#00FF00,heal,ally_hpless,40,100,0,TRUE,,,,,,,,,,,,,TRUE,89,ally_hp_below,50,,[heal]
priest,渴望之劍,csk404,8,150,60,#FFFF00,buff,none,0,0,0,TRUE,ADAM,ally_aoe,5,60,STR,0.1,MPR,self,-0.01,60,STR,0.02,TRUE,20,,,,[成長] | [buff]
priest,魔法之劍,csk405,8,150,60,#FFFF00,buff,none,0,0,0,TRUE,MDAM,ally_aoe,5,60,INT,0.1,MPR,self,-0.01,60,INT,0.02,TRUE,20,,,,[成長] | [buff]
priest,初級防禦術,csk406,8,150,60,#FFFF00,buff,none,0,0,0,TRUE,AC,ally_aoe,5,60,CON,0.1,MPR,self,-0.01,60,CON,0.02,TRUE,40,,,,[成長] | [buff]
priest,魔法屏障,csk407,8,150,60,#FFFF00,buff,none,0,0,0,TRUE,MR,ally_aoe,5,60,WIS,0.1,MPR,self,-0.01,60,WIS,0.02,TRUE,40,,,,[成長] | [buff]
priest,生命逆行,csk408,11,25,0,#00FFFF,magic,random,12,111,0,TRUE,DOT,DMGchoose,50%,5,WIS,0.1,,,,,,,TRUE,99,,,,[成長] | [buff]
priest,聖光追蹤彈,csk409,15,30,0,#00FFFF,magic,aoe,15,140,0,TRUE,DMG,random,,,WIS,0.1,DMG,random,,,WIS,0.1,TRUE,98,,,,[成長] 聖靈召喚(假)
priest,高級治癒術,csk410,18,99,0,#00FF00,heal,ally_hpless,60,125,0,TRUE,,,,,,,,,,,,,TRUE,88,ally_hp_below,50,,[heal]
priest,聖十字懲戒,csk411,25,50,5,#00FFFF,magic,front,25,160,0,TRUE,MR,DMGchoose,-50,5,,,,,,,,,TRUE,97,,,,
thief,攻擊,csk500,1,0,0,#FFFFFF,physical,front,0,100,0,FALSE,,,,,,,,,,,,,TRUE,100,,,,
thief,刺擊,csk501,1,5,0,#CC6600,physical,front,1,120,0,TRUE,,,,,,,,,,,,,TRUE,90,,,,
thief,暗影之道,csk502,3,30,60,#FFFF00,buff,none,0,0,0,TRUE,CRI,self,5,60,DEX,0.5,,,,,,,TRUE,39,,,,[成長] | [buff]
