item_id,item_name,sell_gold,EQ_position,weapon_type,allowed_class,mid_figure,mid_fig_color,item_level,ATK,MATK,CRI,CRI_DMG,ADAM,MDAM,AC,MR,AAR,SAR,HP,HPR,MP,MPR,STR,CON,INT,WIS,DEX,LUK
eq0001,初心胸甲,100,body,,all,body.png,#A0A0A0,1,,,,,,,1,1,,,,,,,,,,,,
eq0002,初心頭盔,100,helmet,,all,helmet.png,#A0A0A0,1,,,,,,,1,1,,,,,,,,,,,,
eq0003,初心盾牌,100,shield,,all,shield.png,#A0A0A0,1,,,,,,,1,1,,,,,,,,,,,,
eq0004,初心手套,100,gloves,,all,gloves.png,#A0A0A0,1,,,,,,,,,1,1,,,,,,,,,,
eq0005,初心長靴,100,shoe,,all,shoe.png,#A0A0A0,1,,,,,,,1,1,,,,,,,,,,,,
eq0006,初心護膝,100,kneepads,,all,kneepads.png,#A0A0A0,1,,,,,,,,,1,1,,,,,,,,,,
eq0007,初心戒指,100,ring,,all,ring.png,#A0A0A0,1,,,,,,,1,,,,,,,,,,,,,
eq0008,初心耳環,100,earrings,,all,earrings.png,#A0A0A0,1,,,,,,,,,,,10,,10,,,,,,,
eq0009,初心項鍊,100,necklace,,all,necklace.png,#A0A0A0,1,,,,,1,1,,,,,,,,,,,,,,
eq0010,木劍,100,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#A0A0A0,1,2,2,,,,,,,,,,,,,1,,1,,,1
eq0011,木杖,100,magic_weapon,two_hand_weapon,mage|priest,wand.png,#A0A0A0,1,,2,,,,,,,,,,,10,,,,1,1,,
eq0012,布拳套,100,physical_weapon,Dual_wielding,martial,knuckles.png,#A0A0A0,1,2,,,,5,,,,,,,,,,1,1,,,,
eq0031,Lv.1 力量戒指,1000,ring,,all,ring.png,#A0A0A0,10,,,,,,,1,1,,,,,,,2,,,,,
eq0032,Lv.1 體質戒指,1000,ring,,all,ring.png,#A0A0A0,10,,,,,,,1,1,,,,,,,,2,,,,
eq0033,Lv.1 智慧戒指,1000,ring,,all,ring.png,#A0A0A0,10,,,,,,,1,1,,,,,,,,,2,,,
eq0034,Lv.1 精神戒指,1000,ring,,all,ring.png,#A0A0A0,10,,,,,,,1,1,,,,,,,,,,2,,
eq0035,Lv.1 敏捷戒指,1000,ring,,all,ring.png,#A0A0A0,10,,,,,,,1,1,,,,,,,,,,,2,
eq0036,Lv.1 幸運戒指,1000,ring,,all,ring.png,#A0A0A0,10,,,,,,,1,1,,,,,,,,,,,,2
eq0037,Cv.1 力體戒指,1500,ring,,all,ring.png,#99FF99,10,,,,,,,,,,,,,,,4,4,,,,
eq0038,Cv.1 精智戒指,1500,ring,,all,ring.png,#99FF99,10,,,,,,,,,,,,,,,,,4,4,,
eq0039,Cv.1 敏幸戒指,1500,ring,,all,ring.png,#99FF99,10,,,,,,,,,,,,,,,,,,,4,4
eq0040,Cv.1 生靈耳環,1500,earrings,,all,earrings.png,#99FF99,10,,,,,,,,,,,20,0.5,20,0.1,,,,,,
eq0051,預見Ａ 長劍,500,physical_weapon,one_hand_weapon,warrior|thief|spellblade,sword.png,#99FF99,5,7,,,,,,,,,,,,,,2,,,,,
eq0052,預見Ａ 法杖,500,magic_weapon,two_hand_weapon,mage|priest,wand.png,#99FF99,5,,7,,,,,,,,,,,,,,,,2,,
