Attribute,name_Attribute,document_Attribute
STR,力量,影響角色的物理攻擊
CON,體質,影響角色的生命成長與生命恢復力
WIS,精神,影響角色的魔力成長與魔力恢復力；增加治癒能力
INT,智慧,影響角色的魔力攻擊力；少許增加治癒能力
DEX,敏捷,影響角色暴擊率、暴擊傷害與閃避能力
LUK,幸運,影響角色暴擊率、暴擊傷害與幸運能力
ATK,物理攻擊力,角色的物理攻擊力
MATK,魔法攻擊力,角色的魔法攻擊力
CRI,暴擊機率,角色的暴擊機率(%)
CRI_DMG,暴擊傷害,角色的暴擊傷害(+%)
AC,物理防禦力,角色的物理防禦與物理減傷
MR,魔法防禦力,角色的魔法防禦與魔法減傷
AAR,物理閃避率,角色對物理攻擊的閃避能力
SAR,魔法閃避率,角色對魔法攻擊的閃避能力
HP,最大生命,角色的生命上限
HPR,生命恢復力,角色的生命每秒恢復值
MP,魔力,角色的魔力上限
MPR,魔力恢復力,角色的魔力每秒恢復值
ADAM,物理破壞力,物理系技能的額外傷害(x%)
MDAM,魔法破壞力,魔法系技能的額外傷害(x%)
ASPD,攻擊速度,影響角色或怪物的行動間隔
EXP,經驗值,角色的努力成果
