map_id,monster_id,name,spawn_rate
map001,mon001,小史萊姆,85
map001,mon002,大史萊姆,15
map002,mon001,小史萊姆,25
map002,mon002,大史萊姆,70
map002,mon003,怨靈史萊姆,5
map003,mon003,怨靈史萊姆,40
map003,mon004,金屬史萊姆,30
map003,mon005,毒史萊姆,30
map004,mon003,怨靈史萊姆,12
map004,mon005,毒史萊姆,22
map004,mon006,火焰史萊姆,22
map004,mon007,冰霜史萊姆,22
map004,mon008,雷電史萊姆,22
map005,mon006,火焰史萊姆,12
map005,mon007,冰霜史萊姆,12
map005,mon008,雷電史萊姆,12
map005,mon009,史萊姆國王,32
map005,mon010,史萊姆皇后,32
map006,mon011,小哥布林,30
map006,mon012,哥布林盾兵,30
map006,mon013,哥布林槍兵,30
map006,mon014,哥布林治癒侍,10
map007,mon014,哥布林治癒侍,20
map007,mon015,哥布林法師,30
map007,mon016,哥布林薩滿,30
map007,mon017,哥布林聖騎士,20
map008,mon014,哥布林治癒侍,20
map008,mon016,哥布林薩滿,20
map008,mon018,被俘虜的女劍聖,10
map008,mon019,哥布林爆破兵,50
map009,mon020,哥布林酋長,15
map009,mon021,哥布林王,15
map009,mon018,被俘虜的女劍聖,15
map009,mon019,哥布林爆破兵,55
map010,mon022,骸骨狂戰士,25
map010,mon023,骸骨術士,25
map010,mon024,腐敗修女,25
map010,mon025,骸骨將軍,25
map011,mon026,嚎泣亡魂,20
map011,mon027,鐮刀死神,20
map011,mon028,縛地靈,20
map011,mon029,怨念聚合體,25
map011,mon030,迷路的聖職者幽靈,15
map012,mon029,怨念聚合體,22
map012,mon031,死靈術士,22
map012,mon032,屍肉魔像,22
map012,mon033,巨大的縫合怪,22
map012,mon034,盡忠的骷髏騎士,12
map013,mon030,迷路的聖職者幽靈,5
map013,mon034,盡忠的骷髏騎士,5
map013,mon035,古洛斯°黑龍,30
map013,mon036,巫妖王°無名,30
map013,mon037,殭屍王°將臣,30
map998,mon998,玖玖巴,50
map998,mon999,夏憶雪,50
