skill_id,name,damage_type,damage_target,base_damage,multiplier,cast_time,effect1,effect1_target,effect1_value,effect1_sec,effect2,effect2_target,effect2_value,effect2_sec
sk000,信仰元力,buff,none,0,0,0,HP,ally_aoe,50,0,,,,
sk998,魅惑妖狐,magic,aoe,1,100,1,HPleech,enemy_aoe,100%,0,,,,
sk001,普通攻擊,physical,front,1,100,0,,,,,,,,
sk002,魔法彈,magic,front,1,100,0,,,,,,,,
sk003,撞擊,physical,front,10,150,0,,,,,,,,
sk004,怨念,magic,aoe,10,200,2,ASPD,enemy_aoe,-15,10,,,,
sk005,堅固防禦,buff,none,0,0,0,AC,self,50,60,MR,self,50,60
sk006,酸液噴射,magic,aoe,15,100,1,DOT,enemy_aoe,50%,10,,,,
sk007,火球,magic,aoe,50,200,0,,,,,,,,
sk008,冰箭,magic,random,50,200,0,MR,DMGchoose,-30,5,ASPD,DMGchoose,-50,5
sk009,落雷,magic,random,50,175,0,DMG,random,75%,,DMG,random,50%,
sk010,國王之劍,physical,front,50,200,0,ADAM,self,20,5,,ASPD,100,5
sk011,聖療術,buff,none,0,0,0,HPR,ally_aoe,333,5,,,,
sk012,守護之心,buff,none,0,0,0,MR,ally_aoe,50,20,AC,ally_aoe,50,20
sk013,戰鬥法陣,buff,none,0,0,0,MDAM,ally_aoe,50,20,ADAM,ally_aoe,50,20
sk014,偷襲,physical,HPlower,50,300,0,,,,,,,,
sk015,刺擊,physical,front,50,175,0,,,,,,,,
sk016,放血,physical,front,50,150,0,DOT,front,50%,5,,,,
sk017,重盾衝鋒,physical,front,50,200,0,,,,,,,,
sk018,連續突刺,physical,front,50,220,0,AC,front,-50,10,,,,
sk019,孤注一擲：綠色奇蹟,buff,none,0,0,0,HPR,ally_aoe,1111,3,,,,
sk020,地裂,magic,aoe,50,200,0,,,,,,,,
sk021,黑暗侵蝕,magic,aoe,50,150,0,MR,enemy_aoe,-15,10,AC,enemy_aoe,-15,10
sk022,黑闇降臨,magic,aoe,50,150,0,SAR,enemy_aoe,-15,10,AAR,enemy_aoe,-15,10
sk023,左右互搏,physical,front,50,200,0,DMG,random,,,,,,
sk024,希望的微光,magic,none,0,0,1,MR,enemy_aoe,66,10,AC,enemy_aoe,66,10
sk025,神聖彗星,magic,ALLaoe,77,250,1,HP,ally_aoe,-1314,0,,,,
sk026,爆炸！,magic,ALLaoe,88,288,2,DOT,DMGchoose,66%,3,DOT,self,25%,3
sk027,為了吾王,buff,none,0,0,0,ATK,ally_aoe,30,10,MATK,ally_aoe,30,10
sk028,治癒圖騰,buff,none,0,0,0,HPR,ally_aoe,300,5,,,,
sk029,狂暴血戰,buff,aoe,150,150,0,ADAM,self,100,20,AC,self,-50,20
sk030,裂地重擊,physical,aoe,150,150,0,,,,,,,,
sk031,亡命劈砍,physical,aoe,150,150,0,ASPD,self,100,5,,,,
sk032,骨牢,magic,random,100,150,0,ASPD,random,-66,3,,,,
sk033,骸骨飛箭,magic,aoe,100,150,0,DOT,enemy_aoe,66%,3,,,,
sk034,亡者治癒,magic,random,100,150,0,,,,,,,,
sk035,逆轉聖療,magic,aoe,1,1,0,HPR,enemy_aoe,-111,10,HPR,ally_aoe,666,10
sk036,斷頭斬,physical,front,150,200,0,,,,,,,,
sk037,突擊令,buff,none,0,0,0,ATK,ally_aoe,30,10,ASPD,ally_aoe,100,10
sk038,亡者尖嘯,magic,aoe,150,150,0,AAR,enemy_aoe,-50,10,SAR,enemy_aoe,-50,10
sk039,靈魂震爆,magic,random,100,250,0,,,,,,,,
sk040,怨念束縛,magic,aoe,100,100,0,ASPD,enemy_aoe,-50,10,,,,
sk041,心靈鬼手,magic,random,100,150,0,MR,random,-66,5,,,,
sk042,靈魂奪取,magic,HPlower,100,250,0,,,,,,,,
sk043,吸魂,magic,random,150,150,0,HPleech,DMGchoose,50%,,,,,
sk044,怨念爆發,magic,aoe,123,200,0,,,,,,,,
sk045,血淚詛咒,magic,aoe,100,100,0,DOT,enemy_aoe,20%,7,,,,
sk046,聖光祝福,buff,aoe,0,0,0,HPR,ally_aoe,-111,6,,,,
sk047,亡靈退散！,buff,aoe,0,0,0,HP,ally_aoe,-333,1,,,,
sk048,最後一次幫你稱10秒,buff,none,0,0,1,HPR,enemy_aoe,333,10,HPR,self,-999,10
sk049,魂體轉換,magic,random,100,100,1,HPR,DMGchoose,-200,1,MPR,DMGchoose,200,1
sk050,屍爆術,magic,ALLaoe,100,150,0,,,,,,,,
sk051,堆屍牆,buff,none,0,0,0,AC,ally_aoe,250,10,MR,ally_aoe,250,10
sk052,殭屍復甦．殞落,magic,random,150,200,0,DMG,random,,,DMG,random,,
sk053,肉山衝撞,physical,front,100,200,0,DMG,middle,,,,,,
sk054,血肉再生,buff,none,0,0,0,HPR,ally_aoe,666,3,HP,self,500,0
sk055,你這次護駕有功,buff,none,0,0,0,AC,random,33,5,MR,random,33,5
sk056,索命黑令旗,buff,none,0,0,0,ATK,ALLaoe,33,5,ADAM,ALLaoe,33,5
sk057,斬擊(佯攻),physical,front,150,200,1,DMG,ally_aoe,,,,,,
sk058,明鏡止水,physical,aoe,100,100,0,PReflect,self,10%,15,,,,
sk059,浮文逆流,magic,aoe,100,100,0,MReflect,self,10%,15,,,,
sk060,雙極天幕,hybrid,aoe,100,100,0,HReflect,self,15%,15,,,,
