monster_id,name,skill_order,skill_id,skill_name,cooldown,initial_delay,use_priority,trigger_condition,skill_color
mon998,玖玖巴,10,sk998,魅惑妖狐,2,0,10,always,#FF66B2
mon998,玖玖巴,1,sk000,信仰元力,2,1,1,always,#00FF00
mon001,小史萊姆,9,sk003,撞擊,3.5,0,9,always,#CC6600
mon002,大史萊姆,9,sk003,撞擊,3.5,0,9,always,#CC6600
mon003,怨靈史萊姆,7,sk004,怨念,10,1,7,always,#FF66B2
mon003,怨靈史萊姆,9,sk003,撞擊,3.5,0,9,always,#CC6600
mon004,金屬史萊姆,9,sk003,撞擊,3.5,0,9,always,#CC6600
mon004,金屬史萊姆,5,sk005,堅固防禦,60,1,7,always,#FFFF99
mon005,毒史萊姆,9,sk003,撞擊,3.5,0,9,always,#CC6600
mon005,毒史萊姆,5,sk006,酸液噴射,10,0,7,always,#FF66B2
mon006,火焰史萊姆,7,sk007,火球,3,0,7,always,#FF66B2
mon007,冰霜史萊姆,7,sk008,冰箭,3,0,7,always,#FF66B2
mon008,雷電史萊姆,7,sk009,落雷,3,0,7,always,#FF66B2
mon009,史萊姆國王,5,sk010,國王之劍,5,0,5,always,#CC6600
mon009,史萊姆國王,6,sk005,堅固防禦,60,1,6,always,#FFFF99
mon009,史萊姆國王,9,sk003,撞擊,2,0,9,always,#CC6600
mon010,史萊姆皇后,3,sk011,聖療術,10,0,3,ally_HP_below_50,#00FF00
mon010,史萊姆皇后,4,sk012,守護之心,20,0,4,always,#FFFF99
mon010,史萊姆皇后,5,sk013,戰鬥法陣,20,0,5,always,#FFFF99
mon010,史萊姆皇后,6,sk014,偷襲,10,0,6,enemy_HP_below_50,#FF0000
mon011,小哥布林,10,sk015,刺擊,5,0,10,always,#CC6600
mon011,小哥布林,8,sk016,放血,10,1,8,always,#CC6600
mon012,哥布林盾兵,6,sk005,堅固防禦,60,1,6,always,#FFFF99
mon012,哥布林盾兵,10,sk017,重盾衝鋒,5,0,10,always,#CC6600
mon013,哥布林槍兵,8,sk018,連續突刺,5,1,8,always,#CC6600
mon013,哥布林槍兵,10,sk015,刺擊,5,0,10,always,#CC6600
mon014,哥布林治癒侍,1,sk019,草包治療,5,0,1,always,#00FF00
mon014,哥布林治癒侍,5,sk013,戰鬥法陣,20,1,5,always,#FFFF99
mon015,哥布林法師,5,sk007,火球,5,0,5,always,#FF66B2
mon015,哥布林法師,6,sk008,冰箭,5,0,6,always,#FF66B2
mon015,哥布林法師,7,sk009,落雷,5,0,7,always,#FF66B2
mon016,哥布林薩滿,7,sk020,地裂,5,2,7,always,#FF66B2
mon016,哥布林薩滿,6,sk021,黑暗侵蝕,5,1,6,always,#B266FF
mon016,哥布林薩滿,5,sk022,黑闇降臨,5,0,5,always,#B266FF
mon017,哥布林聖騎士,6,sk005,堅固防禦,60,1,6,always,#FFFF99
mon017,哥布林聖騎士,10,sk017,重盾衝鋒,5,0,10,always,#CC6600
mon017,哥布林聖騎士,7,sk023,左右互搏,3,0,7,always,#CC6600
mon018,被俘虜的女劍聖,5,sk024,希望的微光,5,0,5,always,#CC6600
mon018,被俘虜的女劍聖,3,sk025,神聖彗星,15,3,3,always,#FF66B2
mon019,哥布林爆破兵,1,sk026,爆炸！,5,0,1,always,#FF66B2
mon020,哥布林酋長,1,sk027,為了吾王,10,0,1,always,#FFFF99
mon020,哥布林酋長,2,sk014,偷襲,10,1,2,enemy_HP_below_60,#FF0000
mon020,哥布林酋長,3,sk028,治癒圖騰,20,1,3,ally_HP_below_70,#00FF00
mon020,哥布林酋長,4,sk012,守護之心,20,1,4,always,#FFFF99
mon020,哥布林酋長,5,sk013,戰鬥法陣,20,1,5,always,#FFFF99
mon020,哥布林酋長,6,sk021,黑暗侵蝕,10,1,6,always,#B266FF
mon020,哥布林酋長,7,sk022,黑闇降臨,10,1,7,always,#B266FF
mon021,哥布林王,5,sk010,國王之劍,3,0,5,always,#CC6600
mon021,哥布林王,7,sk023,左右互搏,3,0,7,always,#CC6600
mon021,哥布林王,2,sk029,狂暴血戰,20,1,2,always,#CC6600
mon021,哥布林王,6,sk030,裂地重擊,7,1,6,always,#CC6600
mon022,骸骨狂戰士,10,sk031,亡命劈砍,5,0,10,always,#CC6600
mon023,骸骨術士,10,sk032,骨牢,10,0,10,always,#B266FF
mon023,骸骨術士,8,sk033,骸骨飛箭,3,0,8,always,#FF66B2
mon024,腐敗修女,10,sk034,亡者治癒,2,2,10,always,#FF66B2
mon024,腐敗修女,8,sk035,逆轉聖療,10,1,8,always,#00FF00
mon024,腐敗修女,5,sk013,戰鬥法陣,20,0,5,always,#FFFF99
mon025,骸骨將軍,9,sk036,斷頭斬,3,0,9,always,#CC6600
mon025,骸骨將軍,3,sk037,突擊令,5,0,3,always,#FFFF99
mon025,骸骨將軍,5,sk010,國王之劍,3,0,5,always,#CC6600
mon025,骸骨將軍,10,sk031,亡命劈砍,5,0,10,always,#CC6600
mon026,嚎泣亡魂,1,sk038,亡者尖嘯,10,0,1,always,#FF66B2
mon026,嚎泣亡魂,10,sk039,靈魂震爆,1,2,10,always,#B266FF
mon026,嚎泣亡魂,5,sk021,黑暗侵蝕,5,1,5,always,#B266FF
mon027,鐮刀死神,9,sk036,斷頭斬,3,0,9,always,#CC6600
mon026,嚎泣亡魂,6,sk030,裂地重擊,7,1,6,always,#CC6600
mon026,嚎泣亡魂,3,sk037,突擊令,5,0,3,always,#FFFF99
mon028,縛地靈,10,sk040,怨念束縛,10,0,10,always,#FF66B2
mon028,縛地靈,5,sk041,心靈鬼手,5,1,5,always,#FF66B2
mon028,縛地靈,1,sk042,靈魂奪取,10,0,1,enemy_HP_below_70,#FF0000
mon029,怨念聚合體,10,sk043,吸魂,7,1,10,always,#FF66B2
mon029,怨念聚合體,5,sk044,怨念爆發,5,3,5,always,#FF66B2
mon029,怨念聚合體,4,sk045,血淚詛咒,14,0,4,always,#FF66B2
mon030,迷路的聖職者幽靈,5,sk024,希望的微光,5,2,5,always,#CC6600
mon030,迷路的聖職者幽靈,8,sk046,聖光祝福,10,1,8,always,#00FF00
mon030,迷路的聖職者幽靈,10,sk047,亡靈退散！,0,0,10,always,#FF66B2
mon030,迷路的聖職者幽靈,1,sk048,最後一次幫你稱10秒,1,0,1,enemy_HP_below_50,#00FF00
