monster_id,name,category,level,HP,HPR,AC,MR,ATK,MATK,AAR,SAR,ADAM,MDAM,attack_type,attack_speed,ASPD,gold_min,gold_max,loot_id,loot_multiplier,loot2_id,loot2_multiplier
mon999,夏憶雪,normal,80,9527,1,1,1,1,1,1,1,1,1,melee,1,0,9527,9527,Drop_000,1,,
mon998,玖玖巴,boss,80,9998,1,1,1,100,100,1,1,1,1,magic,1,0,998,998,Drop_000,1,,
mon001,小史萊姆,normal,1,66,0,2,0,2,5,10,0,0,0,melee,0.7,0,20,38,Drop_001,1,,
mon002,大史萊姆,normal,3,155,0,5,5,10,10,10,0,0,0,melee,0.7,0,70,113,Drop_001,1,,
mon003,怨靈史萊姆,normal,5,370,5,5,20,15,15,10,20,0,20,magic,1,0,120,188,Drop_001,1.5,Drop_005,1
mon004,金屬史萊姆,normal,6,660,5,15,5,25,25,5,0,30,0,melee,0.7,50,140,226,Drop_001,1.5,Drop_005,1
mon005,毒史萊姆,normal,7,770,5,5,15,10,10,0,5,0,30,melee,0.7,0,170,264,Drop_001,1.5,Drop_005,1
mon006,火焰史萊姆,normal,8,1280,5,3,20,25,25,15,0,0,50,magic,0.7,0,190,301,Drop_001,1.5,Drop_005,1
mon007,冰霜史萊姆,normal,8,1337,5,3,20,25,25,15,0,0,50,magic,0.7,0,190,301,Drop_001,1.5,Drop_005,1
mon008,雷電史萊姆,normal,8,1450,5,3,20,25,25,15,0,0,50,magic,0.7,0,190,301,Drop_001,1.5,Drop_005,1
mon009,史萊姆國王,boss,10,5915,20,30,20,35,35,30,10,30,30,melee,1,0,500,1000,Drop_011,2,Drop_005,1
mon010,史萊姆皇后,boss,10,5487,20,20,30,35,35,10,30,30,30,magic,1,0,500,1000,Drop_011,2,Drop_005,1
mon011,小哥布林,normal,11,2168,5,32,20,20,20,5,5,15,0,melee,1,0,280,415,Drop_011,1,,
mon012,哥布林盾兵,normal,12,4200,10,70,50,30,30,20,20,15,0,melee,1,0,290,434,Drop_011,1,,
mon013,哥布林槍兵,normal,13,2600,10,35,35,40,40,33,33,30,0,melee,1,100,300,452,Drop_011,1,,
mon014,哥布林治癒侍,normal,14,2800,30,20,45,40,40,20,20,20,60,magic,0.5,0,310,471,Drop_011,1.5,,
mon015,哥布林法師,normal,15,3000,10,25,50,50,50,10,15,0,30,magic,1,0,320,490,Drop_011,1.5,Drop_015,1
mon016,哥布林薩滿,normal,16,3300,15,25,50,40,40,10,20,0,30,magic,1,0,330,508,Drop_011,1.5,Drop_015,1
mon017,哥布林聖騎士,normal,17,7777,15,70,70,50,50,25,25,30,30,melee,1,0,340,527,Drop_011,1.5,Drop_015,1
mon018,被俘虜的女劍聖,normal,20,13140,50,100,100,1,1,1,1,1,1,melee,0.2,0,520,1314,Drop_011,2,Drop_015,1
mon019,哥布林爆破兵,normal,18,3333,10,30,30,40,40,30,30,87,87,magic,1,0,350,546,Drop_011,1,Drop_015,1
mon020,哥布林酋長,boss,20,30000,40,50,75,70,70,30,30,50,50,magic,1,80,900,1500,Drop_011,2,Drop_015,1
mon021,哥布林王,boss,20,30000,40,75,50,70,70,30,30,50,50,melee,1,100,900,1500,Drop_011,2,Drop_015,1
mon022,骸骨狂戰士,normal,21,6000,10,40,30,50,50,25,25,50,50,melee,1,0,380,600,Drop_021,1,,
mon023,骸骨術士,normal,22,4400,10,30,30,50,50,15,35,50,50,magic,1,0,450,709,Drop_021,1,,
mon024,腐敗修女,normal,23,4600,10,30,30,50,50,15,35,50,50,magic,1,0,530,818,Drop_021,1,,
mon025,骸骨將軍,normal,24,7700,10,50,50,50,50,25,25,50,50,melee,1,0,600,927,Drop_021,1,,
mon026,嚎泣亡魂,normal,24,4800,20,50,100,77,77,35,25,50,50,magic,1,0,600,927,Drop_021,1,,
mon027,鐮刀死神,normal,25,5800,20,100,50,77,77,25,25,50,50,melee,1,0,680,1036,Drop_021,1,Drop_025,1
mon028,縛地靈,normal,26,5200,20,50,100,77,77,35,25,50,50,magic,1,0,750,1145,Drop_021,1,Drop_025,1
mon029,怨念聚合體,normal,28,12345,20,120,120,77,77,35,25,50,50,magic,1,0,910,1363,Drop_021,1,Drop_025,1
mon030,迷路的聖職者幽靈,normal,30,12345,66,66,66,1,1,1,1,1,1,magic,1,0,995,1748,Drop_021,1,Drop_025,1
mon031,死靈術士,normal,27,999999,1,1,1,1,1,1,1,1,1,magic,1,0,830,1254,Drop_021,1,Drop_025,1
mon032,屍肉魔像,normal,28,999999,1,1,1,1,1,1,1,1,1,melee,1,0,910,1363,Drop_021,1,Drop_025,1
mon033,巨大的縫合怪,normal,29,999999,1,1,1,1,1,1,1,1,1,melee,1,0,980,1472,Drop_021,1,Drop_025,1
mon034,盡忠的骷髏騎士,normal,30,999999,1,1,1,1,1,1,1,1,1,melee,1,0,995,1748,Drop_021,1,Drop_025,1
mon035,古洛斯°黑龍,boss,30,999999,1,1,1,1,1,1,1,1,1,melee,1,0,2500,5000,Drop_031,1,Drop_025,1
mon036,巫妖王°無名,boss,30,999999,1,1,1,1,1,1,1,1,1,magic,1,0,2500,5000,Drop_031,1,Drop_025,1
mon037,殭屍王°將臣,boss,30,999999,1,1,1,1,1,1,1,1,1,melee,1,0,2500,5000,Drop_031,1,Drop_025,1
