level,required_exp,total_exp
1,1000,1000
2,2000,3000
3,3000,6000
4,4000,10000
5,5000,15000
6,6000,21000
7,7000,28000
8,8000,36000
9,9000,45000
10,45000,90000
11,22000,112000
12,24000,136000
13,26000,162000
14,28000,190000
15,30000,220000
16,32000,252000
17,34000,286000
18,36000,322000
19,38000,360000
20,270000,630000
21,63000,693000
22,66000,759000
23,69000,828000
24,72000,900000
25,75000,975000
26,78000,1053000
27,81000,1134000
28,84000,1218000
29,87000,1305000
30,675000,1980000
31,124000,2104000
32,128000,2232000
33,132000,2364000
34,136000,2500000
35,140000,2640000
36,144000,2784000
37,148000,2932000
38,152000,3084000
39,156000,3240000
40,1260000,4500000
41,205000,4705000
42,210000,4915000
43,215000,5130000
44,220000,5350000
45,225000,5575000
46,230000,5805000
47,235000,6040000
48,240000,6280000
49,245000,6525000
50,2025000,8550000
51,306000,8856000
52,312000,9168000
53,318000,9486000
54,324000,9810000
55,330000,10140000
56,336000,10476000
57,342000,10818000
58,348000,11166000
59,354000,11520000
60,2970000,14490000
61,427000,14917000
62,434000,15351000
63,441000,15792000
64,448000,16240000
65,455000,16695000
66,462000,17157000
67,469000,17626000
68,476000,18102000
69,483000,18585000
70,4095000,22680000
71,568000,23248000
72,576000,23824000
73,584000,24408000
74,592000,25000000
75,600000,25600000
76,608000,26208000
77,616000,26824000
78,624000,27448000
79,632000,28080000
80,5400000,33480000
81,729000,34209000
82,738000,34947000
83,747000,35694000
84,756000,36450000
85,765000,37215000
86,774000,37989000
87,783000,38772000
88,792000,39564000
89,801000,40365000
90,6885000,47250000
91,1820000,49070000
92,3680000,52750000
93,5580000,58330000
94,7520000,65850000
95,13170000,79020000
96,16462500,95482500
97,21950000,117432500
98,32925000,150357500
99,65850000,216207500
100,216207500,432415000
